1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Class
0.055936,1100.7,0.92593,0.40524,0.044028,1446.6,0.90175,0.30767,0.06986,402.14,0.075376,0.49507,0.073293,264.27,0.076566,0.5059,0.20441,692.1,0.037361,0.64688,0
0.0723,1355.6,0.92188,0.43909,0.052176,1651.6,0.89804,0.33452,0.07047,378.32,0.11357,0.49137,0.076125,360.7,0.11357,0.532,0.084493,871.25,-0.0017857,0.51506,0
0.18406,1164.8,0.94657,0.5757,0.15851,1407,0.93407,0.49241,0.1781,357.07,0.15958,0.60477,0.18741,272.6,0.15568,0.65501,0.18887,826.42,0.062995,0.60793,0
0.061188,1256.3,0.92289,0.43293,0.042748,1571,0.89587,0.3262,0.068077,569.76,0.11132,0.5032,0.06708,350.95,0.098283,0.47466,0.20831,577.72,0.052524,0.65016,0
0.026309,1528.5,0.88157,0.36274,0.01594,1729.3,0.85463,0.26055,0.044983,289.13,0.0874,0.44649,0.032775,677.31,0.14881,0.42177,0.064237,666.21,0.025624,0.46676,0
0.044008,1498.2,0.90212,0.40321,0.030536,1822.9,0.87461,0.29761,0.071478,473.96,0.12557,0.49076,0.053197,334.32,0.096327,0.47538,0.067088,829.29,-0.0056486,0.4876,0
0.131,1063.9,0.94639,0.521,0.10524,1249.7,0.93556,0.43451,0.1214,463.35,0.11858,0.53259,0.12428,286.06,0.14221,0.54676,0.1367,830.03,0.010118,0.56657,0
0.024627,1391.8,0.8773,0.33562,0.014424,1479.8,0.85578,0.22438,0.026383,280.92,0.092679,0.40303,0.02558,770.14,0.13303,0.39633,0.045826,579.7,0.014266,0.44601,0
0.03649,1336.3,0.9029,0.3866,0.021599,1524,0.87704,0.26903,0.036319,290.52,0.072076,0.43471,0.050301,622.98,0.13814,0.48437,0.081911,688.61,0.018725,0.48599,0
0.11242,1336,0.92375,0.48597,0.096361,1668.5,0.90731,0.39693,0.129,348.37,0.08145,0.57889,0.12361,287.87,0.10025,0.59993,0.24749,846.75,-0.0081004,0.67712,0
0.11435,884.99,0.93041,0.51403,0.091397,1120.3,0.90922,0.41281,0.11608,377.87,0.08945,0.55074,0.13072,380.64,0.12635,0.58494,0.24493,739.31,0.038057,0.67385,0
0.040632,1519.4,0.89405,0.38584,0.028856,1757.3,0.87137,0.2821,0.050772,267.64,0.072457,0.47051,0.04346,762.53,0.14606,0.46339,0.063976,708.52,0.034262,0.48005,0
0.087292,1340.9,0.9267,0.45218,0.07236,1628,0.90857,0.35885,0.11135,497.78,0.10593,0.54847,0.097486,240.78,0.13698,0.55684,0.23538,702.61,0.046676,0.66613,0
0.037751,1713.8,0.88329,0.37518,0.023305,2158,0.84027,0.26056,0.040083,310.34,0.095298,0.43376,0.05866,533.97,0.11484,0.49961,0.057176,934.2,-0.021641,0.47105,0
0.14203,1071.3,0.94511,0.51431,0.11488,1335.7,0.93005,0.42158,0.1329,277.78,0.1213,0.57954,0.13747,376.26,0.11143,0.57412,0.17183,937.33,-0.010804,0.61743,0
0.049588,1574.3,0.90345,0.40043,0.032479,2023,0.86859,0.29244,0.05019,338.57,0.075843,0.45662,0.070045,455.77,0.11563,0.51971,0.10066,745.44,-0.038281,0.5074,0
0.11031,1161.2,0.93814,0.49154,0.090007,1417,0.92262,0.4041,0.11223,312.78,0.1362,0.53433,0.13996,400.9,0.10429,0.5859,0.15486,909.59,-0.064368,0.57125,0
0.02366,1232.3,0.87858,0.36048,0.013599,1426.2,0.84704,0.24919,0.030607,321.63,0.092268,0.43248,0.04246,424.76,0.13282,0.47678,0.038671,632.24,0.012097,0.42176,0
0.041584,1534.8,0.89267,0.39926,0.031435,2104.7,0.85904,0.29328,0.049232,283.77,0.06495,0.466,0.068517,528.39,0.14785,0.53717,0.071248,679.85,0.003319,0.5024,0
0.14389,1198,0.94061,0.52319,0.1203,1738.3,0.92261,0.42958,0.15716,350.07,0.092107,0.60662,0.15763,273.94,0.11695,0.60019,0.27384,770.37,0.050248,0.68555,0
0.11833,1087.2,0.94344,0.49601,0.10029,1293.6,0.93085,0.40875,0.12077,292.68,0.15721,0.53211,0.12602,360.58,0.11697,0.58778,0.15626,851.23,0.0037321,0.58062,0
0.13612,1154.7,0.94077,0.50986,0.11418,1426.3,0.92547,0.42233,0.13631,377.42,0.083415,0.5842,0.15594,289.75,0.1234,0.59509,0.25732,712.84,0.025383,0.68927,0
0.12176,1135.6,0.93979,0.50281,0.099394,1240.6,0.93197,0.4112,0.12372,316.31,0.11938,0.54839,0.13,472.5,0.1308,0.54937,0.17828,967.42,-0.065555,0.58765,0
0.14628,1287.9,0.94033,0.52923,0.11898,1563,0.92459,0.44245,0.14386,332.01,0.13557,0.56254,0.14867,300.49,0.14098,0.61318,0.19561,913.67,0.028605,0.59742,0
0.17831,1212.5,0.94333,0.55015,0.15306,1495.3,0.92917,0.47048,0.1652,413.42,0.10678,0.57995,0.17457,404.75,0.093176,0.59698,0.21601,745.57,0.046766,0.61898,0
0.090729,1324.9,0.93088,0.45214,0.070686,1672.2,0.9112,0.3575,0.10378,414.07,0.061073,0.52722,0.092209,279.51,0.089586,0.53871,0.13507,747.78,0.01972,0.60407,0
0.067565,1187.4,0.9285,0.43283,0.048208,1289.3,0.9179,0.33156,0.060469,649.86,0.14955,0.46855,0.078279,258.8,0.10518,0.49793,0.093946,721.64,0.027998,0.5212,0
0.037139,1484.3,0.90371,0.39166,0.0222,1656.3,0.8823,0.27811,0.058157,236.35,0.081636,0.52659,0.039168,722.32,0.12934,0.44086,0.09521,580.13,0.0056853,0.50938,0
0.16005,1197.1,0.94306,0.53907,0.1359,1642.6,0.9258,0.45256,0.17731,273.38,0.089216,0.60649,0.16045,355.9,0.095561,0.61431,0.2015,678.95,0.063184,0.66121,0
0.098111,1246.5,0.93344,0.47354,0.082346,1558.9,0.91519,0.38345,0.12102,444.88,0.10261,0.55847,0.12378,299.74,0.092328,0.56654,0.14874,746.94,0.076215,0.61351,0
0.032513,1392.2,0.89882,0.36605,0.022804,1819.7,0.86333,0.25979,0.044511,478.99,0.097437,0.46342,0.047595,236.1,0.092456,0.4847,0.12285,637.51,0.0013213,0.58623,0
0.026113,1402.5,0.89347,0.36034,0.016103,1570.5,0.87089,0.25124,0.044943,523.06,0.11869,0.48919,0.043435,311.53,0.10711,0.44014,0.050762,672.09,0.0099511,0.45673,0
0.16342,1000.3,0.95056,0.5501,0.13725,1181.9,0.93951,0.4642,0.16486,266.26,0.12447,0.6166,0.15098,376.95,0.13397,0.56656,0.16728,865.84,0.050197,0.59583,0
0.098067,1181.5,0.92374,0.48032,0.082118,1548.6,0.90876,0.38587,0.10763,311.62,0.13874,0.53803,0.11548,352.26,0.10217,0.58232,0.15414,907.6,-0.02701,0.57521,0
0.17494,938.28,0.95327,0.5483,0.15256,1219.2,0.93841,0.46687,0.17235,255.21,0.11593,0.60811,0.19519,315.65,0.11736,0.6194,0.28034,769.73,0.072662,0.70421,0
0.15331,1075.2,0.94879,0.53411,0.12412,1243.6,0.93878,0.44276,0.13834,340.85,0.14494,0.5513,0.15363,336.56,0.13117,0.59557,0.14955,1053.7,-0.045245,0.57708,0
0.098793,1229.4,0.93786,0.47222,0.077198,1392.2,0.92721,0.38755,0.091971,316.24,0.11658,0.5014,0.090458,468.57,0.11518,0.50343,0.14059,762.47,0.015074,0.55502,0
0.030209,1602,0.88273,0.3648,0.01945,1985.4,0.84308,0.25089,0.043823,232.11,0.088768,0.46021,0.044843,566.3,0.1604,0.46877,0.076182,627,0.051581,0.52551,0
0.13796,1056.8,0.94406,0.52399,0.11419,1342.6,0.92829,0.43433,0.1299,324.94,0.11016,0.54157,0.14392,373.36,0.099798,0.59385,0.14068,819.72,-0.021249,0.57355,0
0.030245,1317.4,0.89583,0.37747,0.01973,1661.7,0.85908,0.26018,0.047016,248.3,0.058437,0.47365,0.043507,530.74,0.10885,0.4496,0.17673,476.58,0.012179,0.63386,0
0.13068,1189.4,0.94283,0.5145,0.11263,1544.2,0.92439,0.4234,0.13908,344.91,0.13698,0.56099,0.14238,318.73,0.12036,0.61088,0.1812,909.52,0.055826,0.59448,0
0.10282,1303.8,0.93644,0.48121,0.078949,1608.3,0.91929,0.37865,0.12557,273.76,0.1058,0.56103,0.097978,513,0.10275,0.53671,0.14362,791.77,0.021289,0.61751,0
0.12617,1418.3,0.92838,0.496,0.099257,1779.8,0.90459,0.40326,0.1325,278.74,0.13941,0.58489,0.11465,455.95,0.10855,0.53121,0.12676,793.88,0.046324,0.54766,0
